Date,close,open,high,low,volume,pct_chg,swing,oi,chn_nonferrous,sha_ind,sp500_ind,djind_ind,nasd_ind,spcha_ind,djglo+ind,hs_ind,eu100_ind,spal_ind,shfeal_ind
2018-05-16,2311.5,2325.0,2338.0,2302.0,9886.0,-0.6661,1.5484,2454.0,3102.7,3319.6,2722.46,24768.93,7398.3,5634.35,400.36,31110.2,1073.57,66.67,14794.6
2018-05-17,2290.0,2308.0,2334.5,2248.5,14438.0,-1.1013,3.7205,3427.0,3102.2,3303.6,2720.13,24713.98,7382.47,5581.85,400.43,30942.15,1083.43,65.78,14890.23
2018-05-18,2265.0,2285.5,2311.5,2245.0,11326.0,-1.2211,2.9039,4888.0,3123.72,3344.54,2712.97,24715.09,7354.34,5631.5,399.48,31047.91,1081.35,64.86,14841.92
2018-05-21,2276.5,2270.0,2292.0,2254.5,7708.0,0.2863,1.6556,3465.0,3125.85,3366.07,2733.01,25013.29,7394.04,5662.08,400.98,31234.35,1086.14,65.24,14773.17
2018-05-23,2270.5,2266.0,2277.0,2239.0,10001.0,0.022,1.6807,2754.0,3135.18,3319.02,2733.29,24886.81,7425.96,5551.83,399.51,30665.64,1075.71,64.85,14621.4
2018-05-24,2292.0,2265.5,2293.5,2255.0,9443.0,0.9692,1.6957,3012.0,3128.01,3304.0,2727.76,24811.76,7424.43,5508.45,398.87,30760.41,1072.27,65.31,14758.03
2018-05-25,2266.5,2290.0,2314.5,2248.0,11463.0,-0.6357,2.9014,4122.0,3139.71,3290.02,2721.33,24753.09,7433.85,5478.49,397.86,30588.04,1071.81,64.63,14844.74
2018-05-29,2269.0,2263.0,2276.0,2247.5,8377.0,0.2651,1.2574,2762.0,3178.01,3268.14,2689.86,24361.45,7396.59,5491.65,393.1,30484.58,1052.84,64.96,14760.18
2018-05-30,2267.0,2268.5,2284.0,2254.0,9295.0,-0.3516,1.3222,2981.0,3135.7,3185.36,2724.01,24667.78,7462.45,5401.5,395.3,30056.79,1053.94,64.85,14723.35
2018-05-31,2292.5,2270.5,2304.5,2264.0,10527.0,0.9912,1.7865,3343.0,3177.05,3242.11,2705.27,24415.84,7442.12,5561.31,394.5,30468.56,1049.06,65.52,14633.5
2018-06-01,2299.0,2297.0,2305.0,2263.5,11831.0,0.3054,1.8103,5149.0,3182.64,3220.88,2734.62,24635.21,7554.33,5503.92,397.36,30492.91,1059.77,66.07,14685.02
2018-06-04,2308.5,2302.5,2343.0,2291.0,14091.0,0.1518,2.2619,3625.0,3193.11,3237.7,2746.87,24813.69,7606.46,5560.17,400.14,30997.98,1065.05,66.34,14674.06
2018-06-05,2316.5,2307.5,2340.0,2305.5,10083.0,0.108,1.4945,4884.0,3223.51,3261.76,2748.8,24799.98,7637.86,5634.45,399.66,31093.45,1063.09,66.14,14684.19
2018-06-06,2331.0,2311.5,2345.0,2307.0,11008.0,0.8218,1.6404,2599.0,3267.06,3262.78,2772.35,25146.39,7689.24,5640.14,402.71,31259.1,1060.08,67.13,14908.56
2018-06-07,2285.0,2335.0,2353.0,2281.0,15470.0,-2.5586,3.0888,4092.0,3290.91,3256.82,2770.37,25241.41,7635.07,5609.44,402.89,31512.63,1057.38,66.04,15047.56
2018-06-08,2310.0,2288.0,2324.5,2285.0,9795.0,-0.0865,1.7287,4592.0,3254.63,3212.37,2779.03,25316.53,7645.51,5575.54,402.33,30958.21,1057.54,65.79,14872.36
2018-06-11,2309.0,2308.0,2325.0,2285.0,9039.0,0.435,1.7316,2150.0,3275.24,3197.33,2782.0,25322.31,7659.93,5559.3,403.58,31063.7,1064.43,65.91,14874.33
2018-06-12,2292.5,2315.0,2327.0,2290.0,8716.0,-0.3694,1.6024,2739.0,3267.3,3225.64,2786.85,25320.73,7703.79,5673.61,403.85,31103.06,1062.07,65.94,14850.49
